2.096136331558227539e+00,-2.154226541519165039e+00,8.297352790832519531e-01,-2.988709695637226105e-02,1.234703231602907181e-03,9.986777901649475098e-01,4.180824756622314453e-02,-8.263741433620452881e-02,5.440366268157958984e-02,1.409378945827484131e-01,1.677328199148178101e-01,-1.727949082851409912e-01,-1.083859708160161972e-02,-1.316320300102233887e-01,-4.490878805518150330e-02,-6.788337230682373047e-02,2.122917622327804565e-01,-1.595917642116546631e-01,1.858606934547424316e-02,-1.308484375476837158e-02,1.358442306518554688e-01,1.563304364681243896e-01,-3.071558177471160889e-01,-1.868211179971694946e-01,9.890059381723403931e-02,9.142456948757171631e-02,-2.050383239984512329e-01,2.556571960449218750e-01,-1.334284991025924683e-01,7.881271839141845703e-02,-2.468830673024058342e-03
2.096090316772460938e+00,-2.154247522354125977e+00,8.297221064567565918e-01,-2.979444153606891632e-02,1.246399828232824802e-03,9.986649751663208008e-01,4.217876493930816650e-02,-8.155728131532669067e-02,5.434562638401985168e-02,1.420042812824249268e-01,1.666276454925537109e-01,-1.724649220705032349e-01,-1.075126975774765015e-02,-1.311155259609222412e-01,-4.485665261745452881e-02,-6.732787191867828369e-02,2.115786373615264893e-01,-1.591909378767013550e-01,1.859498582780361176e-02,-1.268875133246183395e-02,1.373051404953002930e-01,1.546214073896408081e-01,-3.069989681243896484e-01,-1.891293823719024658e-01,9.737507253885269165e-02,9.309788793325424194e-02,-2.037722468376159668e-01,2.555377781391143799e-01,-1.348176598548889160e-01,7.983453571796417236e-02,-2.398917917162179947e-03
2.096048831939697266e+00,-2.154280662536621094e+00,8.297178745269775391e-01,-2.973796613514423370e-02,1.238665892742574215e-03,9.986515045166015625e-01,4.253547266125679016e-02,-8.092352747917175293e-02,5.434323474764823914e-02,1.428945064544677734e-01,1.661694049835205078e-01,-1.725070923566818237e-01,-1.063928473740816116e-02,-1.310387104749679565e-01,-4.481176659464836121e-02,-6.670492887496948242e-02,2.114554941654205322e-01,-1.591308116912841797e-01,1.859706640243530273e-02,-1.237793266773223877e-02,1.383248418569564819e-01,1.546173840761184692e-01,-3.063927888870239258e-01,-1.906737387180328369e-01,9.628947079181671143e-02,9.433726221323013306e-02,-2.041078954935073853e-01,2.551590800285339355e-01,-1.356468200683593750e-01,8.030928671360015869e-02,-2.316759899258613586e-03
2.096015214920043945e+00,-2.154313802719116211e+00,8.297033905982971191e-01,-2.972645498812198639e-02,1.230183639563620090e-03,9.986398220062255859e-01,4.281749576330184937e-02,-8.064012229442596436e-02,5.435268208384513855e-02,1.435387134552001953e-01,1.659702062606811523e-01,-1.725946515798568726e-01,-1.060220506042242050e-02,-1.310573071241378784e-01,-4.476679861545562744e-02,-6.616876274347305298e-02,2.114468812942504883e-01,-1.592334210872650146e-01,1.855415105819702148e-02,-1.209363434463739395e-02,1.391882598400115967e-01,1.550006121397018433e-01,-3.057282865047454834e-01,-1.919370740652084351e-01,9.546548873186111450e-02,9.537065029144287109e-02,-2.047941237688064575e-01,2.547075152397155762e-01,-1.363063603639602661e-01,8.041149377822875977e-02,-2.205340191721916199e-03
2.095981836318969727e+00,-2.154337644577026367e+00,8.296888470649719238e-01,-2.977291308343410492e-02,1.272703404538333416e-03,9.986285567283630371e-01,4.304648190736770630e-02,-8.048944920301437378e-02,5.425580218434333801e-02,1.440514624118804932e-01,1.658301055431365967e-01,-1.727362126111984253e-01,-1.058749388903379440e-02,-1.313433051109313965e-01,-4.484074190258979797e-02,-6.567750871181488037e-02,2.115812003612518311e-01,-1.593673229217529297e-01,1.857257634401321411e-02,-1.202133484184741974e-02,1.399979889392852783e-01,1.553996056318283081e-01,-3.051357865333557129e-01,-1.930590569972991943e-01,9.482825547456741333e-02,9.634694457054138184e-02,-2.055365145206451416e-01,2.543662786483764648e-01,-1.368007361888885498e-01,8.037941902875900269e-02,-2.139177871868014336e-03
2.095957040786743164e+00,-2.154378890991210938e+00,8.296740651130676270e-01,-2.986687980592250824e-02,1.282350975088775158e-03,9.986168742179870605e-01,4.325126484036445618e-02,-8.051832020282745361e-02,5.422158166766166687e-02,1.444697380065917969e-01,1.657403558492660522e-01,-1.728937327861785889e-01,-1.050071790814399719e-02,-1.315807998180389404e-01,-4.485734552145004272e-02,-6.527233868837356567e-02,2.116310298442840576e-01,-1.595547646284103394e-01,1.862105540931224823e-02,-1.189975906163454056e-02,1.407562494277954102e-01,1.557318270206451416e-01,-3.046255111694335938e-01,-1.940834224224090576e-01,9.434089809656143188e-02,9.722274541854858398e-02,-2.062392085790634155e-01,2.541001141071319580e-01,-1.373482197523117065e-01,8.023640513420104980e-02,-2.115859650075435638e-03
2.095915555953979492e+00,-2.154411792755126953e+00,8.296586275100708008e-01,-2.996127493679523468e-02,1.281984499655663967e-03,9.986061453819274902e-01,4.343270510435104370e-02,-8.066704124212265015e-02,5.424498394131660461e-02,1.449145227670669556e-01,1.659174710512161255e-01,-1.731368899345397949e-01,-1.048728358000516891e-02,-1.318624913692474365e-01,-4.486126825213432312e-02,-6.488916277885437012e-02,2.117146104574203491e-01,-1.596788614988327026e-01,1.866901665925979614e-02,-1.179083622992038727e-02,1.414460390806198120e-01,1.560143828392028809e-01,-3.041825294494628906e-01,-1.950875818729400635e-01,9.397153556346893311e-02,9.803130477666854858e-02,-2.068669795989990234e-01,2.538894712924957275e-01,-1.379083245992660522e-01,8.004863560199737549e-02,-2.101866761222481728e-03
2.095874309539794922e+00,-2.154452562332153320e+00,8.296421766281127930e-01,-3.005384653806686401e-02,1.292338827624917030e-03,9.985953569412231445e-01,4.361668229103088379e-02,-8.077318966388702393e-02,5.423262715339660645e-02,1.453531384468078613e-01,1.661090403795242310e-01,-1.733804941177368164e-01,-1.055775023996829987e-02,-1.322363913059234619e-01,-4.489041492342948914e-02,-6.448059529066085815e-02,2.118984609842300415e-01,-1.598401814699172974e-01,1.865658164024353027e-02,-1.183313876390457153e-02,1.420483291149139404e-01,1.562539786100387573e-01,-3.037357926368713379e-01,-1.961193680763244629e-01,9.373641014099121094e-02,9.880095720291137695e-02,-2.074327766895294189e-01,2.537599503993988037e-01,-1.384453773498535156e-01,7.989608496427536011e-02,-2.097868593409657478e-03
2.095807790756225586e+00,-2.154477119445800781e+00,8.296293020248413086e-01,-3.026982210576534271e-02,1.332239946350455284e-03,9.985787868499755859e-01,4.384429380297660828e-02,-8.107332885265350342e-02,5.413326621055603027e-02,1.456602066755294800e-01,1.660467237234115601e-01,-1.735052317380905151e-01,-1.048736553639173508e-02,-1.327612996101379395e-01,-4.495797306299209595e-02,-6.403747946023941040e-02,2.119956612586975098e-01,-1.600463837385177612e-01,1.874255202710628510e-02,-1.167099270969629288e-02,1.426308304071426392e-01,1.564330011606216431e-01,-3.033059835433959961e-01,-1.970154494047164917e-01,9.356932342052459717e-02,9.947445243597030640e-02,-2.079557478427886963e-01,2.536622881889343262e-01,-1.390520185232162476e-01,7.974454015493392944e-02,-2.087400993332266808e-03
2.095759153366088867e+00,-2.154510021209716797e+00,8.296133279800415039e-01,-3.039996512234210968e-02,1.361619681119918823e-03,9.985671639442443848e-01,4.401795566082000732e-02,-8.128220587968826294e-02,5.407433211803436279e-02,1.460135430097579956e-01,1.661473065614700317e-01,-1.736792922019958496e-01,-1.045312359929084778e-02,-1.331118792295455933e-01,-4.501684010028839111e-02,-6.364144384860992432e-02,2.121284008026123047e-01,-1.602406501770019531e-01,1.879085041582584381e-02,-1.154332701116800308e-02,1.431461274623870850e-01,1.565693020820617676e-01,-3.028939664363861084e-01,-1.979019194841384888e-01,9.341635555028915405e-02,1.001149788498878479e-01,-2.084318101406097412e-01,2.535772025585174561e-01,-1.396156549453735352e-01,7.958799600601196289e-02,-1.996095757931470871e-03
