3.235487461090087891e+00,-1.356937408447265625e+00,1.021852850914001465e+00,-1.180440187454223633e-02,7.025189697742462158e-04,9.998750686645507812e-01,1.048918440937995911e-02,-1.232390403747558594e-01,2.092339470982551575e-02,1.213620081543922424e-01,2.389419078826904297e-01,-1.833600401878356934e-01,3.428276255726814270e-02,-1.493338495492935181e-01,-3.521536663174629211e-02,-1.247103661298751831e-01,2.650947868824005127e-01,-1.811201870441436768e-01,-4.303467576391994953e-04,-7.901724427938461304e-03,1.682875305414199829e-01,2.195275425910949707e-01,-2.517989575862884521e-01,-2.273565679788589478e-01,8.547744899988174438e-02,1.139139682054519653e-01,-2.347922176122665405e-01,1.898765414953231812e-01,-2.033300548791885376e-01,9.456592798233032227e-02,-2.379011595621705055e-03,1.448541227728128433e-02
3.235487222671508789e+00,-1.356907963752746582e+00,1.021863698959350586e+00,-1.183437369763851166e-02,6.874017999507486820e-04,9.998751282691955566e-01,1.044864114373922348e-02,-1.232090517878532410e-01,2.097416482865810394e-02,1.213099882006645203e-01,2.387809902429580688e-01,-1.832468807697296143e-01,3.420896083116531372e-02,-1.493396013975143433e-01,-3.514425083994865417e-02,-1.247804909944534302e-01,2.649531662464141846e-01,-1.810067594051361084e-01,-4.538585490081459284e-04,-7.798586040735244751e-03,1.685437858104705811e-01,2.197017520666122437e-01,-2.512120008468627930e-01,-2.284945845603942871e-01,8.303639292716979980e-02,1.141448542475700378e-01,-2.349238395690917969e-01,1.894919127225875854e-01,-2.043517678976058960e-01,9.624879807233810425e-02,-1.846324536018073559e-03,1.451248116791248322e-02
3.235477447509765625e+00,-1.356867671012878418e+00,1.021872758865356445e+00,-1.189916860312223434e-02,6.931307725608348846e-04,9.998747706413269043e-01,1.041272841393947601e-02,-1.229701265692710876e-01,2.097954601049423218e-02,1.213058158755302429e-01,2.383961230516433716e-01,-1.831581592559814453e-01,3.408535197377204895e-02,-1.492122411727905273e-01,-3.509666770696640015e-02,-1.248601377010345459e-01,2.646712064743041992e-01,-1.809515208005905151e-01,-4.534941399469971657e-04,-7.869493216276168823e-03,1.688562184572219849e-01,2.198279052972793579e-01,-2.506164312362670898e-01,-2.292093038558959961e-01,8.120079338550567627e-02,1.144012063741683960e-01,-2.350548058748245239e-01,1.891319453716278076e-01,-2.050264924764633179e-01,9.742709994316101074e-02,-1.538532786071300507e-03,1.456687599420547485e-02
3.235476493835449219e+00,-1.356827855110168457e+00,1.021883964538574219e+00,-1.188370492309331894e-02,6.965310894884169102e-04,9.998753666877746582e-01,1.036888081580400467e-02,-1.228311359882354736e-01,2.100910246372222900e-02,1.212811917066574097e-01,2.381899654865264893e-01,-1.829896569252014160e-01,3.398066386580467224e-02,-1.492055058479309082e-01,-3.504757955670356750e-02,-1.249165460467338562e-01,2.645983695983886719e-01,-1.808528900146484375e-01,-4.992062458768486977e-04,-7.913550361990928650e-03,1.692153364419937134e-01,2.199243903160095215e-01,-2.500621974468231201e-01,-2.296351492404937744e-01,7.977639883756637573e-02,1.147044748067855835e-01,-2.351885288953781128e-01,1.888445615768432617e-01,-2.055834978818893433e-01,9.824745357036590576e-02,-1.189621398225426674e-03,1.473527774214744568e-02
3.235466241836547852e+00,-1.356788039207458496e+00,1.021894335746765137e+00,-1.189537532627582550e-02,6.860728026367723942e-04,9.998754858970642090e-01,1.034461427479982376e-02,-1.228438690304756165e-01,2.106501162052154541e-02,1.212476789951324463e-01,2.381006926298141479e-01,-1.828822940587997437e-01,3.391780331730842590e-02,-1.491087824106216431e-01,-3.497133031487464905e-02,-1.249620616436004639e-01,2.644352316856384277e-01,-1.808002144098281860e-01,-5.273428978398442268e-04,-7.928679697215557098e-03,1.695669293403625488e-01,2.199750244617462158e-01,-2.494613230228424072e-01,-2.299529016017913818e-01,7.862076908349990845e-02,1.149996817111968994e-01,-2.353268861770629883e-01,1.885281503200531006e-01,-2.059335857629776001e-01,9.888492524623870850e-02,-9.097879519686102867e-04,1.490102708339691162e-02
3.235466003417968750e+00,-1.356737732887268066e+00,1.021904468536376953e+00,-1.191952638328075409e-02,6.874587852507829666e-04,9.998755455017089844e-01,1.031176093965768814e-02,-1.228672415018081665e-01,2.110262215137481689e-02,1.212011575698852539e-01,2.380260378122329712e-01,-1.827957034111022949e-01,3.384963050484657288e-02,-1.490058898925781250e-01,-3.491676226258277893e-02,-1.250388324260711670e-01,2.642461359500885010e-01,-1.807507872581481934e-01,-5.657809088006615639e-04,-7.925605401396751404e-03,1.699119210243225098e-01,2.200081795454025269e-01,-2.489024102687835693e-01,-2.302222698926925659e-01,7.764843851327896118e-02,1.152928546071052551e-01,-2.354820817708969116e-01,1.883242428302764893e-01,-2.063413858413696289e-01,9.932221472263336182e-02,-5.719197215512394905e-04,1.502773445099592209e-02
3.235455989837646484e+00,-1.356697678565979004e+00,1.021914005279541016e+00,-1.195782329887151718e-02,6.860534776933491230e-04,9.998756647109985352e-01,1.025907043367624283e-02,-1.226824894547462463e-01,2.113149873912334442e-02,1.211702153086662292e-01,2.377534955739974976e-01,-1.827554255723953247e-01,3.377068042755126953e-02,-1.489526182413101196e-01,-3.486671671271324158e-02,-1.251650303602218628e-01,2.640764415264129639e-01,-1.806959509849548340e-01,-5.901935510337352753e-04,-7.957926020026206970e-03,1.702464967966079712e-01,2.200427502393722534e-01,-2.483906596899032593e-01,-2.305033951997756958e-01,7.683248817920684814e-02,1.155995056033134460e-01,-2.356414794921875000e-01,1.881081461906433105e-01,-2.068013697862625122e-01,9.960218518972396851e-02,-1.310094230575487018e-04,1.521910820156335831e-02
3.235415220260620117e+00,-1.356607437133789062e+00,1.021925091743469238e+00,-1.197663042694330215e-02,6.986001390032470226e-04,9.998766779899597168e-01,1.013371627777814865e-02,-1.229892000555992126e-01,2.120129764080047607e-02,1.209550127387046814e-01,2.378767430782318115e-01,-1.825590580701828003e-01,3.364157304167747498e-02,-1.487414538860321045e-01,-3.479619696736335754e-02,-1.254058331251144409e-01,2.638225853443145752e-01,-1.806846857070922852e-01,-6.558158784173429012e-04,-7.845171727240085602e-03,1.705695092678070068e-01,2.200905680656433105e-01,-2.479854822158813477e-01,-2.308221310377120972e-01,7.608078420162200928e-02,1.159007102251052856e-01,-2.358197271823883057e-01,1.877917200326919556e-01,-2.071366012096405029e-01,9.977548569440841675e-02,1.723192835925146937e-04,1.523870322853326797e-02
3.235395193099975586e+00,-1.356547236442565918e+00,1.021935343742370605e+00,-1.200847607105970383e-02,6.800731061957776546e-04,9.998774528503417969e-01,1.001893728971481323e-02,-1.231035590171813965e-01,2.128858864307403564e-02,1.207076832652091980e-01,2.379185557365417480e-01,-1.825427711009979248e-01,3.357174992561340332e-02,-1.487349569797515869e-01,-3.469517081975936890e-02,-1.256041973829269409e-01,2.636626064777374268e-01,-1.806009858846664429e-01,-7.158808293752372265e-04,-7.879283279180526733e-03,1.708776354789733887e-01,2.201368063688278198e-01,-2.476033419370651245e-01,-2.311202138662338257e-01,7.542431354522705078e-02,1.161870956420898438e-01,-2.360102534294128418e-01,1.875342577695846558e-01,-2.074439972639083862e-01,9.996271133422851562e-02,3.676449996419250965e-04,1.520653627812862396e-02
3.235384941101074219e+00,-1.356477022171020508e+00,1.021934986114501953e+00,-1.202908717095851898e-02,6.783897406421601772e-04,9.998780488967895508e-01,9.934768080711364746e-03,-1.232395917177200317e-01,2.135814540088176727e-02,1.205226853489875793e-01,2.379688322544097900e-01,-1.824941337108612061e-01,3.349822387099266052e-02,-1.486191898584365845e-01,-3.461772203445434570e-02,-1.257769912481307983e-01,2.634804844856262207e-01,-1.806071251630783081e-01,-8.051077602431178093e-04,-7.920549251139163971e-03,1.711743623018264771e-01,2.201708406209945679e-01,-2.472658008337020874e-01,-2.314150929450988770e-01,7.486514002084732056e-02,1.164463832974433899e-01,-2.361818850040435791e-01,1.873081326484680176e-01,-2.077113837003707886e-01,1.001518219709396362e-01,5.303067737258970737e-04,1.511725876480340958e-02
